epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
126,30140.4,1.08716,0.52232,0.91671,0.85258,0.77534,0.82814,0.51421,1.31383,0.58102,1.00787,0.0038125,0.0038125,0.0038125
127,30372.1,1.09574,0.52255,0.91818,0.8553,0.77354,0.82828,0.51422,1.3139,0.58103,1.00778,0.003763,0.003763,0.003763
128,30605.9,1.09036,0.52149,0.9194,0.85644,0.77332,0.82832,0.51458,1.31419,0.58114,1.00782,0.0037135,0.0037135,0.0037135
129,30839.1,1.08564,0.52076,0.91735,0.87336,0.76465,0.82771,0.51468,1.31432,0.58107,1.00772,0.003664,0.003664,0.003664
130,31146.6,1.0896,0.51926,0.91706,0.87322,0.7653,0.82802,0.51516,1.31457,0.58075,1.0079,0.0036145,0.0036145,0.0036145
131,31408.2,1.08007,0.51779,0.91497,0.8707,0.76708,0.82808,0.51469,1.31495,0.58074,1.00793,0.003565,0.003565,0.003565
132,31639.1,1.0825,0.51716,0.91578,0.87389,0.76765,0.8295,0.51523,1.31534,0.5809,1.00808,0.0035155,0.0035155,0.0035155
133,31872.1,1.08181,0.51396,0.91826,0.8749,0.76807,0.83049,0.51552,1.3155,0.58086,1.00799,0.003466,0.003466,0.003466
134,32105.8,1.07712,0.51253,0.91611,0.87613,0.76784,0.83055,0.51581,1.31562,0.58075,1.00803,0.0034165,0.0034165,0.0034165
135,32338.9,1.08147,0.51392,0.91746,0.87299,0.77057,0.83072,0.51592,1.31615,0.58074,1.00827,0.003367,0.003367,0.003367
136,32570.5,1.07597,0.51116,0.91552,0.87389,0.7698,0.83079,0.51619,1.31653,0.58068,1.00844,0.0033175,0.0033175,0.0033175
137,32803.2,1.06653,0.50765,0.91278,0.874,0.77046,0.83145,0.51619,1.3168,0.58062,1.00858,0.003268,0.003268,0.003268
138,33034.9,1.07524,0.51443,0.91181,0.86892,0.77269,0.8309,0.51631,1.31706,0.58043,1.00868,0.0032185,0.0032185,0.0032185
139,33280.1,1.07418,0.51226,0.91259,0.86643,0.77315,0.83081,0.51614,1.31777,0.5805,1.00909,0.003169,0.003169,0.003169
140,33513.1,1.06562,0.50843,0.91147,0.87137,0.77082,0.83137,0.51653,1.31798,0.58045,1.00917,0.0031195,0.0031195,0.0031195
141,33746.7,1.07226,0.51015,0.91214,0.87143,0.77008,0.83139,0.51662,1.3183,0.58033,1.00924,0.00307,0.00307,0.00307
142,33982.4,1.06682,0.50657,0.91304,0.87316,0.77031,0.83168,0.51661,1.31848,0.58041,1.00928,0.0030205,0.0030205,0.0030205
