epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
112,36406.8,1.10238,0.52923,0.92328,0.89121,0.75812,0.82375,0.51186,1.32387,0.58862,1.01559,0.0045055,0.0045055,0.0045055
113,36623.4,1.09913,0.52744,0.92147,0.89197,0.75887,0.82394,0.51212,1.3241,0.5883,1.01538,0.004456,0.004456,0.004456
114,36838.6,1.09777,0.52491,0.92369,0.89257,0.75882,0.82383,0.51238,1.32403,0.58829,1.01508,0.0044065,0.0044065,0.0044065
115,37054.4,1.09608,0.52254,0.91949,0.89311,0.75953,0.82408,0.51261,1.32357,0.58782,1.01462,0.004357,0.004357,0.004357
116,37269.1,1.09836,0.5251,0.92301,0.89291,0.75884,0.8224,0.5127,1.3234,0.58774,1.01445,0.0043075,0.0043075,0.0043075
117,37485.3,1.08417,0.52094,0.92031,0.89298,0.75916,0.82236,0.5131,1.32351,0.58672,1.01423,0.004258,0.004258,0.004258
118,37699.2,1.09636,0.5226,0.92089,0.8924,0.76039,0.8223,0.5128,1.32346,0.58606,1.01419,0.0042085,0.0042085,0.0042085
119,37912.8,1.08702,0.51719,0.91995,0.89308,0.76025,0.82221,0.51261,1.32339,0.58568,1.0142,0.004159,0.004159,0.004159
120,38129.5,1.08088,0.51579,0.91861,0.89464,0.76092,0.82196,0.51245,1.32318,0.58537,1.01408,0.0041095,0.0041095,0.0041095
121,38348.7,1.08323,0.51754,0.9184,0.89311,0.76092,0.82171,0.51256,1.32352,0.58557,1.01407,0.00406,0.00406,0.00406
122,38566,1.09017,0.51934,0.91904,0.8863,0.76313,0.82167,0.51213,1.32375,0.58566,1.014,0.0040105,0.0040105,0.0040105
123,38784.9,1.08539,0.51631,0.91896,0.88443,0.76313,0.8217,0.51174,1.32316,0.5857,1.01382,0.003961,0.003961,0.003961
124,39061.8,1.08101,0.51438,0.91774,0.88438,0.76363,0.82186,0.51164,1.32332,0.58544,1.01388,0.0039115,0.0039115,0.0039115
125,39279.3,1.08775,0.52018,0.91996,0.88279,0.76417,0.82205,0.51184,1.32312,0.58535,1.01387,0.003862,0.003862,0.003862
126,39495.4,1.0745,0.51421,0.91391,0.8826,0.76415,0.82197,0.51172,1.32323,0.58499,1.01398,0.0038125,0.0038125,0.0038125
127,39709,1.07903,0.51433,0.91445,0.88214,0.7652,0.82159,0.51211,1.32295,0.58472,1.01401,0.003763,0.003763,0.003763
128,39925.1,1.07278,0.51167,0.91489,0.88217,0.76486,0.82159,0.51194,1.3232,0.58461,1.01405,0.0037135,0.0037135,0.0037135
129,40140.4,1.07095,0.51298,0.91382,0.8798,0.76555,0.8217,0.51186,1.32344,0.58447,1.01401,0.003664,0.003664,0.003664
130,40357.4,1.07268,0.5114,0.91206,0.88098,0.76491,0.82164,0.51177,1.32349,0.58416,1.01416,0.0036145,0.0036145,0.0036145
131,40571.8,1.06495,0.51006,0.91182,0.88339,0.76419,0.82201,0.5119,1.32366,0.58398,1.01428,0.003565,0.003565,0.003565
132,40787.9,1.06936,0.51061,0.91452,0.88335,0.76464,0.82257,0.51208,1.3235,0.58405,1.01423,0.0035155,0.0035155,0.0035155
133,41004.9,1.06987,0.50736,0.91479,0.88277,0.76717,0.82245,0.51206,1.32365,0.58425,1.01418,0.003466,0.003466,0.003466
134,41220.1,1.06264,0.50527,0.91299,0.88395,0.76371,0.82345,0.51187,1.32361,0.58411,1.01414,0.0034165,0.0034165,0.0034165
135,41433,1.06726,0.50613,0.9135,0.88363,0.7647,0.8238,0.5121,1.32382,0.5839,1.01422,0.003367,0.003367,0.003367
136,41651.1,1.06082,0.50309,0.91262,0.88275,0.76548,0.82385,0.51232,1.3242,0.58372,1.01439,0.0033175,0.0033175,0.0033175
137,41863.5,1.0523,0.49998,0.9101,0.8823,0.76547,0.82353,0.51233,1.32419,0.5837,1.01451,0.003268,0.003268,0.003268
138,42082.1,1.06136,0.5058,0.9101,0.88405,0.7631,0.82342,0.51235,1.32419,0.5836,1.01456,0.0032185,0.0032185,0.0032185
139,42299,1.06072,0.50621,0.90961,0.88292,0.76399,0.8236,0.51218,1.32433,0.58362,1.01455,0.003169,0.003169,0.003169
140,42514.3,1.05062,0.50028,0.9075,0.88392,0.76282,0.82359,0.51227,1.32441,0.58366,1.01479,0.0031195,0.0031195,0.0031195
141,42730.1,1.05608,0.50129,0.9072,0.88531,0.76292,0.82376,0.51252,1.32437,0.58372,1.01472,0.00307,0.00307,0.00307
142,42945,1.05277,0.49718,0.90926,0.8867,0.76266,0.82396,0.51264,1.32431,0.58389,1.01473,0.0030205,0.0030205,0.0030205
143,43159.6,1.04351,0.49377,0.90453,0.88816,0.76235,0.82402,0.51269,1.32431,0.5838,1.01476,0.002971,0.002971,0.002971
144,43376.2,1.04742,0.49724,0.9075,0.8906,0.7621,0.82404,0.51317,1.32446,0.58382,1.01479,0.0029215,0.0029215,0.0029215
